,tmp_var,amp_var,audio,subject,r_s,r_fs
28,0.09123275925964133,0.0019499392413574212,3.0,1.0,0.042002703952970455,0.04465261167748532
29,0.09123275925964133,0.0019499392413574212,3.0,2.0,0.043671291800086505,0.04526382918193552
30,0.09123275925964133,0.0019499392413574212,3.0,3.0,0.08259080936271274,0.09122273300174717
31,0.09123275925964133,0.0019499392413574212,3.0,4.0,0.02971902777797844,0.033074507003158775
32,0.09123275925964133,0.0019499392413574212,3.0,5.0,0.033704351571377134,0.038079171700752555
33,0.09123275925964133,0.0019499392413574212,3.0,6.0,0.03627109159763432,0.03879333747324929
34,0.09123275925964133,0.0019499392413574212,3.0,7.0,0.07242696988467758,0.08163568235517821
35,0.09123275925964133,0.0019499392413574212,3.0,8.0,0.051465990919280946,0.05093787838951035
36,0.09123275925964133,0.0019499392413574212,3.0,9.0,0.03537580245248987,0.03519475711847458
37,0.09123275925964133,0.0019499392413574212,3.0,10.0,0.04618081606157729,0.05013592279435703
38,0.09123275925964133,0.0019499392413574212,3.0,11.0,0.056318473423716674,0.055440390348045876
39,0.09123275925964133,0.0019499392413574212,3.0,12.0,0.006113259084050272,0.008510429555647384
40,0.09123275925964133,0.0019499392413574212,3.0,13.0,0.0207490557190606,0.029137879773253394
41,0.09123275925964133,0.0019499392413574212,3.0,14.0,0.05995969713019763,0.07171845641113798
42,0.0925054014621965,0.0015216741162691956,4.0,1.0,0.024387170523152573,0.026822575245896232
43,0.0925054014621965,0.0015216741162691956,4.0,2.0,0.04533044439873097,0.04474350142156334
44,0.0925054014621965,0.0015216741162691956,4.0,3.0,0.04698754385623521,0.05346910656254595
45,0.0925054014621965,0.0015216741162691956,4.0,4.0,0.03158825570193091,0.028989949424599325
46,0.0925054014621965,0.0015216741162691956,4.0,5.0,0.015594412641720125,0.023634294920898132
47,0.0925054014621965,0.0015216741162691956,4.0,6.0,0.051892764039181395,0.053299290723712846
48,0.0925054014621965,0.0015216741162691956,4.0,7.0,0.05530879615754128,0.06291236094380832
49,0.0925054014621965,0.0015216741162691956,4.0,8.0,0.0583426246137721,0.062437368025037375
50,0.0925054014621965,0.0015216741162691956,4.0,9.0,0.03202258636809199,0.04001208705922479
51,0.0925054014621965,0.0015216741162691956,4.0,10.0,0.025042251261698862,0.029061279747382734
52,0.0925054014621965,0.0015216741162691956,4.0,11.0,0.003954654511602941,0.006064310261669478
53,0.0925054014621965,0.0015216741162691956,4.0,12.0,0.022446597445010857,0.022615906875994535
54,0.0925054014621965,0.0015216741162691956,4.0,13.0,0.034038915529849965,0.03884391966961994
55,0.0925054014621965,0.0015216741162691956,4.0,14.0,0.07819044906911773,0.07713262924246499
56,0.08932006239959078,0.0017946164944526457,5.0,1.0,0.0360832998007604,0.03968335071472462
57,0.08932006239959078,0.0017946164944526457,5.0,2.0,0.04224240606663917,0.0498765081483313
58,0.08932006239959078,0.0017946164944526457,5.0,3.0,0.04375749946947247,0.049188887827116314
