,subject,phoneme,weight,amplitude_var,phase_var,count,correlation
29,6,V,0.003365435794096985,0.0004692946064571413,0.0677070707070707,500,0.03520822242627989
30,6,Z,0.015359675544466827,0.0007330359141780802,0.07816596656639029,944,0.03520822242627989
31,6,DH,0.008740086623904528,0.0003475515087490006,0.08300939003221817,1577,0.03520822242627989
32,6,NG,0.010374387448993765,0.0008730321558098486,0.07260897567920102,382,0.03520822242627989
33,6,G,0.0036644503589895933,0.0006561455123342353,0.12069569070566079,295,0.03520822242627989
34,6,SH,0.008024591980761608,0.0014288682946305457,0.062101718425323124,279,0.03520822242627989
35,6,CH,0.005093137149731215,0.0007523296744396427,0.05537347707444559,118,0.03520822242627989
36,6,TH,0.0036326288166919772,0.0003852903116453581,0.08909949164851125,210,0.03520822242627989
37,6,ZH,0.0006658703397215603,0.0008710527003467043,0.12174999999999998,5,0.03520822242627989
38,6,JH,0.003044959929781172,0.0009758183179604242,0.07389173671913327,83,0.03520822242627989
0,7,IY,0.016420047570588823,0.0012378694112643576,0.06599980992568094,1349,0.041140370650671526
1,7,OW,0.010072280203851787,0.001203938083650151,0.07070507974544218,607,0.041140370650671526
2,7,AE,0.009576072613282942,0.001818609564986389,0.0965472261887681,721,0.041140370650671526
3,7,AA,0.0060078084515955655,0.0013476700733777902,0.06671433950192644,445,0.041140370650671526
4,7,EH,0.010836961553142014,0.0018155390565081496,0.07146555670357385,963,0.041140370650671526
5,7,ER,0.007149303922348869,0.0011355597921028878,0.07563977180555195,752,0.041140370650671526
6,7,IH,0.011028942908278588,0.0014827714721394045,0.08671454036159917,1870,0.041140370650671526
7,7,UH,0.0033977207508383996,0.0010863614740065015,0.05874578906452449,227,0.041140370650671526
8,7,AH,0.015303666233725498,0.0013675487168092748,0.08072117576905538,3655,0.041140370650671526
9,7,AO,0.010045813158013159,0.001186681907473642,0.08254439747138653,581,0.041140370650671526
10,7,UW,0.003832968047193865,0.00040095398654107557,0.07774862690350667,404,0.041140370650671526
11,7,EY,0.0071038485775679,0.0013874258433351245,0.0705445874741546,517,0.041140370650671526
12,7,AY,0.010293220362454608,0.001654817325538124,0.10410378848024832,626,0.041140370650671526
13,7,OY,0.004936498635890637,0.001315328652059948,0.07599584278155706,110,0.041140370650671526
14,7,AW,0.007826511848815738,0.0010777934465830768,0.08910443827691215,264,0.041140370650671526
15,7,Y,0.0031812164552864996,0.0009359861589434442,0.08929362880886427,190,0.041140370650671526
16,7,L,0.012154253798796612,0.0007861109986912612,0.081077346743295,1392,0.041140370650671526
17,7,R,0.006168127772213156,0.000993281857759541,0.08713585228148335,1133,0.041140370650671526
18,7,W,0.008768458239889521,0.0009192832713842851,0.09080714303620821,946,0.041140370650671526
19,7,B,0.0056336291864064695,0.0004036251751204172,0.09117958562735438,725,0.041140370650671526
20,7,D,0.012189156621507496,0.0003412828836440986,0.051288382944084054,1761,0.041140370650671526
21,7,F,0.009474485584518742,0.0002922442177223135,0.0708181578769814,715,0.041140370650671526
22,7,HH,0.007239039040713671,0.0006842883729673064,0.06396795053337109,1070,0.041140370650671526
23,7,K,0.012496441619236368,0.00046195616779781055,0.05887404370985775,931,0.041140370650671526
24,7,M,0.007745739844529729,0.0005502088469867727,0.08649637959759067,952,0.041140370650671526
25,7,N,0.010627433190359583,0.0005760286850681602,0.0740142743429722,2373,0.041140370650671526
26,7,P,0.007037861780219597,0.00030557063296763633,0.06813957971852709,455,0.041140370650671526
27,7,S,0.012143845415343291,0.000948525612409763,0.0790466853234765,1278,0.041140370650671526
28,7,T,0.017366062725550566,0.00046681895568169597,0.07936271600052762,2432,0.041140370650671526
29,7,V,0.004710744085610067,0.0004692946064571413,0.0677070707070707,500,0.041140370650671526
30,7,Z,0.010048021355779438,0.0007330359141780802,0.07816596656639029,944,0.041140370650671526
31,7,DH,0.010640683737328778,0.0003475515087490006,0.08300939003221817,1577,0.041140370650671526
32,7,NG,0.006546100072272886,0.0008730321558098486,0.07260897567920102,382,0.041140370650671526
33,7,G,0.004962764157420367,0.0006561455123342353,0.12069569070566079,295,0.041140370650671526
34,7,SH,0.007643340970238286,0.0014288682946305457,0.062101718425323124,279,0.041140370650671526
35,7,CH,0.004365130438985318,0.0007523296744396427,0.05537347707444559,118,0.041140370650671526
36,7,TH,0.004223366474602401,0.0003852903116453581,0.08909949164851125,210,0.041140370650671526
37,7,ZH,0.00041913968895106505,0.0008710527003467043,0.12174999999999998,5,0.041140370650671526
38,7,JH,0.003444983533328202,0.0009758183179604242,0.07389173671913327,83,0.041140370650671526
0,8,IY,0.009762912368514669,0.0012378694112643576,0.06599980992568094,1349,0.02611826277304054
1,8,OW,0.00629361458882804,0.001203938083650151,0.07070507974544218,607,0.02611826277304054
2,8,AE,0.007373045995568778,0.001818609564986389,0.0965472261887681,721,0.02611826277304054
3,8,AA,0.006261426563212414,0.0013476700733777902,0.06671433950192644,445,0.02611826277304054
4,8,EH,0.006434228275191152,0.0018155390565081496,0.07146555670357385,963,0.02611826277304054
5,8,ER,0.006482790695286711,0.0011355597921028878,0.07563977180555195,752,0.02611826277304054
6,8,IH,0.007761363444155,0.0014827714721394045,0.08671454036159917,1870,0.02611826277304054
7,8,UH,0.002733925331258227,0.0010863614740065015,0.05874578906452449,227,0.02611826277304054
8,8,AH,0.015306750442149067,0.0013675487168092748,0.08072117576905538,3655,0.02611826277304054
9,8,AO,0.008638067651786952,0.001186681907473642,0.08254439747138653,581,0.02611826277304054
10,8,UW,0.0048718364286785215,0.00040095398654107557,0.07774862690350667,404,0.02611826277304054
11,8,EY,0.007070830413295088,0.0013874258433351245,0.0705445874741546,517,0.02611826277304054
12,8,AY,0.010367751010210754,0.001654817325538124,0.10410378848024832,626,0.02611826277304054
13,8,OY,0.003056884762747672,0.001315328652059948,0.07599584278155706,110,0.02611826277304054
14,8,AW,0.004528585497055242,0.0010777934465830768,0.08910443827691215,264,0.02611826277304054
15,8,Y,0.0029585563171137122,0.0009359861589434442,0.08929362880886427,190,0.02611826277304054
16,8,L,0.009495124351794991,0.0007861109986912612,0.081077346743295,1392,0.02611826277304054
17,8,R,0.004904940441615743,0.000993281857759541,0.08713585228148335,1133,0.02611826277304054
18,8,W,0.004852424931918705,0.0009192832713842851,0.09080714303620821,946,0.02611826277304054
19,8,B,0.004762173612171504,0.0004036251751204172,0.09117958562735438,725,0.02611826277304054
20,8,D,0.011916446665188632,0.0003412828836440986,0.051288382944084054,1761,0.02611826277304054
21,8,F,0.0056927070797544894,0.0002922442177223135,0.0708181578769814,715,0.02611826277304054
22,8,HH,0.0066521813540792556,0.0006842883729673064,0.06396795053337109,1070,0.02611826277304054
23,8,K,0.009390497548656996,0.00046195616779781055,0.05887404370985775,931,0.02611826277304054
24,8,M,0.00798773858127512,0.0005502088469867727,0.08649637959759067,952,0.02611826277304054
25,8,N,0.007333803068721357,0.0005760286850681602,0.0740142743429722,2373,0.02611826277304054
26,8,P,0.004586612003652212,0.00030557063296763633,0.06813957971852709,455,0.02611826277304054
27,8,S,0.007014093441413433,0.000948525612409763,0.0790466853234765,1278,0.02611826277304054
28,8,T,0.012556388168071505,0.00046681895568169597,0.07936271600052762,2432,0.02611826277304054
