"","occurrence","amplitude","phase","correlation"
"112",0.660996414268294,0.0649409655220976,-0.00140696951805691,0.13230322213407
"113",0.693082721345691,0.100261130739187,-0.0208856042304969,0.0244111556505043
"114",0.618982531254632,0.0771226501399693,-0.0527819879484994,0.109071146740882
"115",0.58996069610635,0.0834813155189989,-0.0161164482968722,0.0804936767458899
"116",0.592388703072371,0.083003668755111,-0.0620205670902227,0.0653330910183231
"117",0.592758893719425,0.149465013476823,-0.025320733837635,0.144386611986437
"118",0.629646156198918,0.0797412583279422,0.00501047868149401,0.143549893604658
"119",0.594145573202925,0.109186312191599,-0.0560477635941877,0.185869076022075
"120",0.623423066887329,0.0582872201909282,-0.0391770882491764,0.14563718284812
"121",0.589580023706775,0.0323092078076091,-0.0764633638175509,0.121975176484829
"122",0.628288343801071,0.0938247506512522,-0.0190505081220752,0.113032004969091
"123",0.614125099103465,0.084852810104198,-0.044003081304037,0.0732522795266707
"124",0.594243912227115,0.0966697935436058,-0.0627219350323348,0.190964567139666
"125",0.578805062293205,0.0990660302409636,-0.0393600192279635,0.218418586148991
"126",0.57383795135386,0.0687920164543754,-0.0727562070865783,0.165282444411898
"127",0.698102516913661,0.137970263220714,-0.0348797372118835,0.109211826560929
"128",0.650077549236988,0.100670280137082,-0.0116836297626917,0.105366978473234
"129",0.617662888681606,0.0477205508842063,-0.054224372343697,0.191912851251261
"130",0.563533463787802,0.081565358689915,-0.0269491267554005,0.0803763490093222
"131",0.639704325014661,0.0702432938811243,-0.0139659783515939,0.0304186820070454
"132",0.616826907913614,0.119293092825327,-0.014711250172618,0.14889185789646
"133",0.632710252480748,0.0940161338986349,-0.0345869394796582,0.157538210002399
"134",0.654703505130637,0.0846729886902605,-0.0151347410651041,0.10078963354421
"135",0.612381055262801,0.106624400433103,-0.00359134583902303,0.162468280473059
"136",0.618246388540338,0.0786624790337276,-0.0261112630909689,0.0477263275551561
"137",0.640845452985596,0.105665935739067,-0.0578472256416225,0.128288331945036
"138",0.640765492649494,0.0858959728868191,0.00503384303811671,0.040528989195647
"139",0.59231876922933,0.0831474439658817,-0.0496399983314356,0.122569246088696
"140",0.629903731863608,0.0793698669823347,-0.0273697018871156,0.00645452186805499
"141",0.635614621866427,0.0448394853012437,0.00367192648112751,0.11484728792919
"142",0.616799066082389,0.0976113389669574,-0.0220800276031777,0.27048582988532
"143",0.539431194255074,0.0642202529171867,-0.0500901721914982,0.0749508003597375
"144",0.621403165206529,0.130073627771363,-0.0175336205530209,0.0356948755488395
"145",0.614373756597569,0.0979613729492983,-0.0193626342520916,0.157653512259601
"146",0.695048439019484,0.115468502556479,-0.00538220576672559,0.15428383503894
"147",0.615685663393121,0.103056128956775,-0.0212776396675638,0.112519988171307
"148",0.626574010440456,0.0941065889331123,-0.0411946139460497,0.158293140478605
"149",0.634631294866294,0.0808278138672314,-0.0249834428388551,0.144525426520026
"150",0.648801630626171,0.0561822862253387,-0.0329881585864223,0.0954943798981428
"151",0.633586835947776,0.0634691898483563,-0.0420714034090874,0.155946048752996
"152",0.589710212551275,0.0953652601141426,-0.0439577245479452,0.0672504653063964
"153",0.653810524994801,0.118200032357124,-0.029336545443119,0.0444164738470456
"154",0.592965730909249,0.0785525551605397,-0.0907138245310543,0.121613970245017
"155",0.591973878837818,0.106265718949454,-0.0300780915900122,0.0960302492649484
"156",0.564760997707446,0.0533989206194847,-0.0484842231820376,0.141096214657202
"157",0.623366794694865,0.0891958851430023,-0.00708281648856701,0.16076876966871
"158",0.597305986053986,0.113710392469768,-0.0255513669565612,0.0967572868081815
"159",0.65703591718824,0.135649796276239,-0.0432727756067857,0.16949080825754
"160",0.629586866119507,0.096812245514873,-0.0633270597694059,0.0671367118669784
"161",0.642709007778185,0.103389064321864,-0.0428429418340394,0.0865664580879644
"162",0.604519413053209,0.0866829681305207,-0.0872482949629832,0.0691598226840261
"163",0.60834046132912,0.0609980799751578,-0.0347322654556423,0.0898883109874659
"164",0.625258987170587,0.136629621894637,-0.024009932169586,0.0920148520261594
"165",0.664848602670793,0.102519922655627,-0.0818267174815371,0.218411199140253
"166",0.648167377968262,0.0809946326255592,-0.0271912868469919,0.167939376366205
"167",0.654743157269115,0.13760271249021,-0.0536994888538201,0.122063978834331
"168",0.609878113002862,0.0613069888925136,-0.0343183944295728,0.131880183381569
"169",0.597200138377229,0.0643641424505931,-0.0235835109773112,0.190554661731052
"170",0.658027748533677,0.102568952627353,-0.0342876864958083,0.192361338241506
"171",0.627065276952599,0.129121915053895,-0.0515916165187216,0.134689936217605
"172",0.660620635822187,0.122593759829975,-0.0216351064967864,0.131302927830421
"173",0.626937253543132,0.109729276571742,-0.0314089779378986,0.139581585766215
"174",0.611752721002159,0.0860217781453017,-0.0527140210534975,0.16328564440276
"175",0.623294353936498,0.0774469662671019,-0.0503820323814822,0.180444477582605
"176",0.623219818976515,0.0980175459414887,-0.028654202872647,0.0783380458759234
"177",0.624378343784016,0.088567233211382,-0.0304402862752413,0.125858326384132
"178",0.61327468945764,0.107811628382497,-0.0413467356699702,0.10236119988786
"179",0.655939094608775,0.0988855472297274,-0.0198185126572317,0.0175782186368206
"180",0.615001758344141,0.102304467305065,-0.0794091144143749,-0.000457120561368971
"181",0.6265416123834,0.119931738527986,-0.0608916090822028,0.0975714970905356
"182",0.68075489488321,0.0992656841544039,-0.0297262115572206,0.112854640327124
"183",0.620502189679811,0.11759483167223,-0.0426155601945367,0.112163142759397
"184",0.619176435207173,0.0776665404290322,-0.00248432169710938,0.169774964513081
"185",0.635372058211129,0.125308871752286,-0.044381817217247,0.145120580758953
"186",0.65561187853029,0.102442892355997,-0.0639711325296721,0.0666468425896554
"187",0.6174126326478,0.120057357671658,-0.0262333533852981,0.101381056002073
"188",0.641561865945016,0.0605273875875477,-0.0745391399088998,0.000612455624040414
"189",0.642209730959167,0.137622586900595,-0.0291390061889888,0.142109121132897
"190",0.640767997075595,0.0778943695736577,-0.0271325154709839,-0.00044725081654591
"191",0.676282690525855,0.114677582931148,-0.0390031031853104,0.204806290287252
"192",0.662421305288052,0.0989464016196664,-0.0355557904718136,0.143347267571382
"193",0.601742435726592,0.086940616949786,-0.0619645128510794,0.11394078251148
"194",0.646368510497476,0.0948159360397796,0.00363026751558296,0.0481567191929119
"195",0.605814692993251,0.126808368668246,-0.0534695347813037,0.174858239694567
"196",0.592235779562272,0.0940377452908925,-0.00921382883124301,0.0811496249109644
"197",0.657670155847563,0.0897370105136597,-0.0549813284892419,0.118237452611034
"198",0.683032898355775,0.0827804028557547,-0.0266622493653062,0.177182774791006
"199",0.651928828025035,0.085187968071721,-0.00792135177255481,0.100071547198301
"200",0.641602242962479,0.119322333769372,-0.00972984160878138,0.0893680963993539
"201",0.566139174380076,0.124099279939648,-0.0153141817773517,0.104363402943351
"202",0.630753730427182,0.0978325493664809,-0.0123327008286577,0.0887023767612623
"203",0.643527917702198,0.0994246950089638,-0.0704295174871384,0.0141244586490397
"204",0.650725480935974,0.0956861140381874,-0.0232927520305355,0.0945971858876981
"205",0.598588190950159,0.0825156486194799,-0.0530075202835499,0.0604444802049112
"206",0.617558347047423,0.111158279168478,-0.0434869692890832,0.00323299296253339
"207",0.648366806735438,0.100837734822302,-0.0246349674280566,0.117758766879962
"208",0.675351361100715,0.0963490739524765,-0.0463580032283022,0.0882186530065963
"209",0.668207193030882,0.132173715481215,-0.0440010047139218,0.147463760084963
"210",0.6414548164277,0.076859794808722,-0.00199738660117547,0.0862386845691203
"211",0.647153538013448,0.0715994606281098,-0.0292773642535909,0.103664601065942
"212",0.643560246177013,0.0991353274028827,-0.0706472706465196,0.0886970792006809
"213",0.62490012220785,0.086985341426636,-0.0744429575898083,0.172878844470756
"214",0.636401443715897,0.10642661121947,-0.0393382783425644,0.0956140977975335
"215",0.628277414424373,0.0652299502171822,-0.0603229535638895,0.100839179472897
"216",0.58691947617482,0.118948407851263,-0.0285656210119788,0.0789749264588328
"217",0.62552989346689,0.124166075243336,-0.0294658380579653,0.16356030541678
"218",0.635832494994298,0.102139185095039,-0.0546344511357563,0.116498775325951
"219",0.663959386990785,0.0908507617265665,-0.0317368305179175,0.0790544548197989
"220",0.629332565506707,0.0883703091828661,-0.0414377772788731,0.116166694242927
"221",0.666257063495553,0.0907281452810147,-0.0896317762087968,0.10123451726642
"222",0.658629565696109,0.0837533715945259,-0.0391192581182485,0.0715970580282414
"223",0.605568428211429,0.091397172431515,-0.0843934028472847,0.0254848475409409
"224",0.589661564914126,0.0843888392921023,-0.0273867602868777,0.0996770566301169
"225",0.625933936189885,0.117615908731253,-0.067346592780128,0.0264045582810015
"226",0.606885504969038,0.118081641089175,0.00160929152935316,-0.00431961574662179
"227",0.595173157643152,0.0970491610408265,-0.0426149732565228,0.124360832522387
"228",0.594286434286649,0.0801667256885212,-0.0415138534461016,0.0489543805826379
"229",0.570394472114539,0.0728183845603562,-0.0732516589462506,0.0780518946140591
"230",0.621024725379012,0.0973126191966499,-0.0303574059642602,0.0362459157625507
"231",0.673064920837026,0.0946927910447234,-0.0295636546206789,0.0593303259749363
"232",0.640303531156459,0.117356699120914,-0.0267083818745449,0.180160529976305
"233",0.63956293052894,0.120953478344432,-0.0456692627887369,0.0464883486312053
"234",0.615321481676504,0.0842335720616766,-0.0179756141010009,-0.0013242074011704
"235",0.596691955666467,0.121950211839064,-0.0324267272143479,0.163847081317087
"236",0.656201454131486,0.0945856327062566,-0.0207636128212451,0.0781286207637373
"237",0.604479012895885,0.0499334303768048,-0.0451692635973856,0.0592222581171925
"238",0.636099734576631,0.128283359931894,-0.0306602060543429,0.196919059642439
"239",0.650984336476138,0.101488922179225,-0.017529184642339,0.0148481385542418
"240",0.609390467494841,0.0957455220501212,-0.0410364948238341,0.106976361099152
"241",0.61761484899046,0.105747587095976,-0.0493487939632022,0.127304726076598
"242",0.633976212039995,0.0687129076357635,0.0121301905260641,0.104115883128102
"243",0.641352588997527,0.103254263536833,-0.0723677982099927,0.173159437187477
"244",0.611928891373664,0.0884178066386241,-0.0998285054671472,0.0795916889654097
"245",0.636960501864392,0.0814670259883383,-0.00932608778589892,0.099274898417681
"246",0.630633037864517,0.101985695190341,-0.0535400965965645,0.106286216900167
"247",0.629166120696829,0.0763145690842205,0.0110208184797814,0.15269394266656
"248",0.640997400484264,0.10726629203914,-0.024044240156106,0.0914523900075544
"249",0.585489615381417,0.0997083570426947,-0.042886642465309,0.150425147286416
"250",0.674826033309232,0.0911831360035019,-0.0217941704565907,0.00709393819990214
"251",0.599075719947144,0.0613166895276035,-0.0118145075432273,0.0711580504851003
"252",0.653217685887479,0.0585426616055271,-0.0689638995014447,0.217489771606422
"253",0.643011404933151,0.0988284730120482,-0.0336628298035478,0.0655634481645316
"254",0.647941714919315,0.0837117730482753,-0.0976136247157596,0.100251276802647
"255",0.633481806288979,0.100334276835835,-0.0210292489860478,0.0656588457549144
"256",0.618517802436014,0.0957784386647319,-0.0200991409695177,0.109793480505251
"257",0.626505794812899,0.0806948357724611,-0.00547461362439693,0.0668140645411444
"258",0.706128390946878,0.127632919112684,-0.0112190962749369,0.104912385889764
"259",0.582261694751862,0.0842245067685876,-0.0536741473950344,0.0437120182008684
"260",0.628622363151613,0.074360682424751,-0.0257564239221077,0.0918171667924973
"261",0.58372796830667,0.0892695546314561,-0.0656667836662375,0.0743623957688624
"262",0.63001212436606,0.132280421108559,-0.0495938917403585,0.0811528222215815
"263",0.612348475828444,0.115206598727012,-0.0598055839931666,0.146877337029528
"264",0.623792540532343,0.0867479371716931,-0.0486607528058039,0.0669040944216258
"265",0.629057078001354,0.0936065581923493,-0.0213086113086147,0.169473095820338
"266",0.635303262995139,0.102665819150162,-0.0504926746384104,0.0687154835664451
"267",0.611069196378329,0.0961293330509672,-0.0155511179365675,0.18130585874536
"268",0.598417484948587,0.0812953199184914,-0.0212768682713318,0.0698027052966534
"269",0.671488603345926,0.0704643599444975,-0.0384021475004103,0.114321673292003
"270",0.653929694561518,0.120772869088493,-0.0367082628516823,0.100586348683737
"271",0.628279786820818,0.0660845292894693,-0.0437707077266639,0.0437527475368167
"272",0.647621627910459,0.0681272165874998,-0.0346641610360713,0.08735913965025
"273",0.627857544872657,0.132136134234518,-0.0331532318516536,0.0492822573425344
"274",0.642684528484446,0.130285689154904,-0.0580982940417306,0.0498286373638738
"275",0.662040859019874,0.11485425852207,-0.00362886676032018,0.0395690770170963
"276",0.640463636141496,0.103074611584909,-0.030170714374477,0.138018915256554
"277",0.608691943468033,0.0494113823248366,-0.0288056899628465,0.138663188875498
"278",0.587358203586417,0.0849387919971808,-0.0437829907084134,0.169950066981747
"279",0.626170454300209,0.0730449053128837,-0.054365822620002,0.20660581294882
"280",0.592585926787115,0.0485394076272684,-0.0493664744658854,0.0590526057021998
"281",0.614128527306139,0.0801481107009993,-0.0625273359377694,0.0812349032213139
"282",0.65004026215582,0.1076960101603,-0.0031948868007137,0.249115083191114
"283",0.587719964344832,0.0817580613011257,-0.00084649331763785,0.120319945500561
